bat_pos,1,2,3,4
1,66.15736284889316,25.10827718960539,6.304138594802695,2.430221366698749
2,57.02407947305906,30.018356548968793,9.545405463772811,3.41215851419933
3,35.200509229789944,40.96753660089115,16.740929344366645,7.091024824952259
4,16.329682673406346,45.45071609098568,27.11317045773659,11.106430777871385
5,7.778709136630344,34.90360435875943,32.27158424140821,25.046102263202012
6,2.32722143864598,24.400564174894217,35.448989186647864,37.823225199811944
7,0.2976190476190476,15.575396825396826,33.56481481481482,50.56216931216932
8,0.0,7.062146892655368,27.288135593220336,65.64971751412429
9,0.0,3.7076271186440675,28.49576271186441,67.79661016949152
10,0.0,1.6203703703703702,23.14814814814815,75.23148148148148
11,0.0,0.5208333333333333,10.416666666666668,89.0625
